sample	tissue	nucl	subject	pool_id	part	side	rpm	rpm_ratio
FC57_L_Muscle_hFXN_AB_RNA	Abdominal	RNA	L	14	AB		1070.0628571428574	1.1361228571428572
FC57_L_Muscle_hFXN_AB_RNA	Abdominal	RNA	L	15	AB		901.0714285714287	1.1871942857142854
FC57_L_Muscle_hFXN_AB_RNA	Abdominal	RNA	L	16	AB		1583.4514285714286	1.2414057142857142
FC57_L_Muscle_hFXN_AB_RNA	Abdominal	RNA	L	18	AB		44.931428571428576	0.027813714285714285
FC57_L_Muscle_hFXN_DIA_DNA	Diaphragm	DNA	L	1	DIA		104.01257142857145	0.08321257142857144
FC57_L_Muscle_hFXN_DIA_DNA	Diaphragm	DNA	L	2	DIA		1169.2314285714288	0.8171942857142855
FC57_L_Muscle_hFXN_DIA_DNA	Diaphragm	DNA	L	3	DIA		366.5365714285715	0.27003142857142864
FC57_L_Muscle_hFXN_DIA_DNA	Diaphragm	DNA	L	4	DIA		508.904857142857	0.658974
FC57_L_Muscle_hFXN_DIA_DNA	Diaphragm	DNA	L	5	DIA		207.7891428571429	0.2249734285714286
FC57_L_Muscle_hFXN_DIA_DNA	Diaphragm	DNA	L	6	DIA		1478.3485714285716	1.2047257142857142
FC57_L_Muscle_hFXN_DIA_DNA	Diaphragm	DNA	L	7	DIA		1617.6514285714284	1.5401371428571424
FC57_L_Muscle_hFXN_DIA_DNA	Diaphragm	DNA	L	8	DIA		1904.1942857142853	1.5838628571428577
FC57_L_Muscle_hFXN_DIA_DNA	Diaphragm	DNA	L	9	DIA		812.2185714285713	0.679514285714286
FC57_L_Muscle_hFXN_DIA_DNA	Diaphragm	DNA	L	10	DIA		2735.4857142857145	2.0601142857142856
FC57_L_Muscle_hFXN_DIA_DNA	Diaphragm	DNA	L	11	DIA		1876.7885714285717	1.2346228571428568
FC57_L_Muscle_hFXN_DIA_DNA	Diaphragm	DNA	L	12	DIA		1911.6231428571432	1.4665142857142857
FC57_L_Muscle_hFXN_DIA_DNA	Diaphragm	DNA	L	13	DIA		1921.6371428571426	1.2647285714285714
FC57_L_Muscle_hFXN_DIA_DNA	Diaphragm	DNA	L	14	DIA		1321.722857142857	1.388677142857143
FC57_L_Muscle_hFXN_DIA_DNA	Diaphragm	DNA	L	15	DIA		600.6857142857143	0.9157771428571428
FC57_L_Muscle_hFXN_DIA_DNA	Diaphragm	DNA	L	16	DIA		1889.5685714285712	1.540897142857143
FC57_L_Muscle_hFXN_DIA_DNA	Diaphragm	DNA	L	18	DIA		132.604	0.0968677142857143
FC57_L_Muscle_hFXN_DIA_RNA	Diaphragm	RNA	L	1	DIA		113.33114285714285	0.08420942857142857
FC57_L_Muscle_hFXN_DIA_RNA	Diaphragm	RNA	L	2	DIA		1235.9171428571428	0.8367657142857142
FC57_L_Muscle_hFXN_DIA_RNA	Diaphragm	RNA	L	3	DIA		510.6657142857143	0.4012200000000001
